Name of Organization,Program,Address,Borough,Postcode,Served By,Event Date,Citywide Outreach,Age,Head Start PreK,Hospital Health Care,Seniors,Community Site,Hands On,Special Needs,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),the_geom,Site_Serve,Event_Date,Activity,LONG,LAT,X,Y,opportunity_id,content_id,vol_requests,event_time,title,hits,summary,is_priority,category_id,category_desc,amsl,amsl_unit,org_title,org_content_id,addresses_count,locality,region,primary_loc,display_url,recurrence_type,hours,created_date,last_modified_date,start_date_date,end_date_date,status,Community Council ,Census Tract,NTA
Brownsville Neighborhood Health Action Center,Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,08/17/2024,Safety Shower,Adults,No,No,No,Yes,No,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendly Apostolic Church,Special Event,115-03 Sutphin Boulevard,QN,11434,Citywide Outreach,08/17/2024,Community Fair,,No,No,No,No,No,,40.684681,-73.792723,412.0,28.0,4264191.0,4121880009.0,272.0,QN1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Streets,Bike Safety,124th Street & Adam Clayton Powell Blvd,MN,10027,Citywide Outreach,08/17/2024,"Helmet Fitting
Helmet Fitting","Children
Adults",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlem Children's Zone at Howard Bennett Playground,Special Event,32 West 136th Street,MN,10039,Citywide Outreach,08/18/2024,Community Fair,Children,No,No,No,Yes,No,,40.814255,-73.939152,110.0,9.0,,,212.0,MN1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlerm Week,Special Event,200A W 136th St,MN,10030,Citywide Outreach,08/18/2024,Community Fair,Children,No,No,No,Yes,No,,40.816176,-73.943706,110.0,9.0,1058898.0,1019410036.0,228.0,MN1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach Safety,Special Event,Midland Beach- Father Caodanno Blvd & Sand Lane,SI,10305,Citywide Outreach,08/19/2024,"Street Teams
Street Teams","Adults
Children",No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP-2,Outreach,59 Maiden Lane,MN,10038,Citywide Outreach,08/19/2024,DVAP,Adults,No,No,No,No,No,,40.708266,-74.008231,101.0,1.0,1079043.0,1000670001.0,1502.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&G Adult Day Care Center,Outreach,"1815 85 Street, 2Fl",BK,11214,Citywide Outreach,08/19/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.607399,-74.001235,311.0,38.0,3398583.0,3063320071.0,278.0,BK1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockaway Blvd Senior Center,Outreach,123-10 143 Street,QN,11436,Citywide Outreach,08/20/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.674522,-73.795725,412.0,28.0,4261337.0,4120390044.0,182.0,QN1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senator Roxanne Persaud,Special Event,1222 E 96th Street,BK,11236,Citywide Outreach,08/20/2024,"Community Fair
Community Fair","Children
Adults",No,No,No,Yes,No,,40.64172,-73.899893,318.0,46.0,3230089.0,3082030078.0,966.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Chinese Association of Brooklyn Senior Center,Outreach,1878 Stillwell Avenue,BK,11223,Citywide Outreach,08/20/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.600733,-73.986028,311.0,43.0,3185119.0,3068520018.0,298.0,BK1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual car seat check - Alba,Child Passenger Safety,5421 Center Blvd,QN,11101,Citywide Outreach,08/20/2024,Car Seat Check,Adults,No,No,No,No,No,,40.740862,-73.960821,402.0,26.0,,,101.0,QN0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie Municipak Parking Lot,Child Passenger Safety,1389 Rockaway Parkway,BK,11236,Citywide Outreach,08/21/2024,Car Seat Check,"Adults
Children",No,No,No,Yes,Yes,,40.645856,-73.903101,318.0,46.0,3000000.0,3081660014.0,974.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie Municipak Parking Lot,Child Passenger Safety,1389 Rockaway Parkway,BK,11236,Citywide Outreach,08/21/2024,Car Seat Check,"Adults
Children",No,No,No,Yes,Yes,,40.645856,-73.903101,318.0,46.0,3000000.0,3081660014.0,974.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie Municipak Parking Lot,Child Passenger Safety,1389 Rockaway Parkway,BK,11236,Citywide Outreach,08/21/2024,Car Seat Check,Adults,No,No,No,Yes,Yes,,40.645856,-73.903101,318.0,46.0,3000000.0,3081660014.0,974.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthem Community Service Center,Special Event,153-17 Jamaica Ave,QN,11432,Citywide Outreach,08/21/2024,"Community Fair
Community Fair",Children,No,No,No,No,No,,40.702837,-73.801979,412.0,27.0,4208824.0,4097540053.0,240.0,QN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Community Outreach Event,Special Event,Highland Park,BK,11207,Citywide Outreach,08/21/2024,Summer Camp,,No,No,No,Yes,No,,40.6847,-73.887393,305.0,37.0,3000000.0,3038890001.0,1180.0,BK0571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite # 16,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,08/21/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite #17,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,08/21/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Windham,Special Event,Lincoln Terrace Park Rochester Avenue,BK,11203,Citywide Outreach,08/21/2024,"Community Fair
Community Fair","Children
Adults",No,No,No,No,No,,40.666754,-73.927254,308.0,41.0,3418110.0,3013980001.0,35702.0,BK0891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob A Riis Neighborhood Settlement,Outreach,10-54 41st Ave,QN,11101,Citywide Outreach,08/21/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.755178,-73.944758,401.0,26.0,,,25.0,QN0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mott Street Older Adult Center,Outreach,180 Mott Street,MN,10012,Citywide Outreach,08/21/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.720558,-73.995873,102.0,1.0,1007156.0,1004790001.0,41.0,MN0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuther OAC,Outreach,711 Seagirt Ave,QN,11691,Citywide Outreach,08/21/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.595996,-73.742187,414.0,31.0,4298968.0,4156100001.0,101002.0,QN1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,Rockaway Blvd & Beach 95th Street,QN,11693,Citywide Outreach,08/21/2024,"Street Teams
Street Teams","Adults
Children",No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We are BCS,Outreach,2947 West 28 Street.,BK,11224,Citywide Outreach,08/21/2024,"Summer Camp
Summer Camp","Children
Children",No,No,No,Yes,No,,40.574453,-73.994089,313.0,47.0,3385303.0,3070530014.0,342.0,BK1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH/Family Wellness #25,Outreach,158 East 115th Street,MN,10029,Citywide Outreach,08/22/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH/Family Wellness #26,Outreach,158 East 115th Street,MN,10029,Citywide Outreach,08/22/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWI,DWI,"Coney Island  Surf Ave and Stillwell Ave, 11224",BK,11224,Citywide Outreach,08/22/2024,Other DWI,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForestDale Social Services,Special Event,67-35 112th Street,QN,11375,Citywide Outreach,08/22/2024,Community Fair,,No,No,No,No,No,,40.729354,-73.842599,406.0,29.0,4441126.0,4022060006.0,747.0,QN0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Essential Association Back to School event,Special Event,1975 Victory Boulevard,SI,10314,Citywide Outreach,08/22/2024,"Community Fair
Community Fair","Adults
Children",No,No,No,Yes,Yes,,40.612557,-74.129576,501.0,50.0,5103907.0,5003780021.0,151.0,SI0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobi Medical Center Back to School Festival,Special Event,1400 Pelham Pkwy,BX,10461,Citywide Outreach,08/22/2024,Community Fair,"Children
Adults",No,Yes,No,No,No,,40.857427,-73.847079,211.0,13.0,2097550.0,2042050001.0,296.0,BX1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASA-HEC OAC,Outreach,9602 Seaview Ave,BK,11236,Citywide Outreach,08/22/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.633356,-73.890372,318.0,46.0,3235258.0,3083280030.0,102801.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD SPA YCO & Manhattan Division of Child Protection,Special Event,E 124 Street between 2nd & 3rd Ave,MN,10035,Citywide Outreach,08/22/2024,"Community Fair
Community Fair","Children
Adults",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens Rosedale Municipal Parking Lot,Child Passenger Safety,139-15 Fransis Boulevard,QN,11422,Citywide Outreach,08/22/2024,Car Seat Check,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens Rosedale Municipal Parking Lot #2,Child Passenger Safety,139-15 Fransis Boulevard,QN,11422,Citywide Outreach,08/22/2024,Car Seat Check,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,Coney Island  Surf Ave and Stillwell Ave,BK,11224,Citywide Outreach,08/22/2024,"Street Teams
Street Teams","Adults
Children",No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunny Day Adult Day Care Center,Outreach,6218 20 Avenue,BK,11204,Citywide Outreach,08/22/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.618091,-73.984241,311.0,43.0,3132875.0,3055340048.0,254.0,BK1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual car seat check - Olivia,Child Passenger Safety,2 Consatitution Ct.,BX,7030,Citywide Outreach,08/22/2024,Car Seat Check,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Back to School Fair,Special Event,462 1st Ave & 28th street,MN,10025,Citywide Outreach,08/23/2024,,"Children
Adults",No,Yes,No,No,No,,40.739497,-73.976624,106.0,4.0,1086515.0,1009620100.0,62.0,MN0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fordham University,Special Event,Fordham Plaza,BX,10458,Citywide Outreach,08/23/2024,"Community Fair
Community Fair","Adults
Children",No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt. Moriah,Outreach,116-20 Francis lewis Blvd,QN,11411,Citywide Outreach,08/23/2024,Seniors - Streetwise,Older Adults,No,No,No,Yes,No,,40.697022,-73.746604,412.0,27.0,4430414.0,4110770021.0,532.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICE,Special Event,71-29 Roosevelt Ave,QN,11370,Citywide Outreach,08/23/2024,"Community Fair
Community Fair","Children
Adults",No,No,No,No,Yes,,40.74659,-73.893979,403.0,25.0,4029758.0,4012820149.0,26501.0,QN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Streets - Brooklyn,Bike Safety,Eastern Parkway - Grand Army Plaza to Buffalo Avenue,BK,11225,Citywide Outreach,08/24/2024,"Helmet Fitting
Helmet Fitting","Children
Adults",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commonpoint Queens By Assemblewomen Nily Rozic,Special Event,58-20 Little Neck Parkway,QN,11362,Citywide Outreach,08/25/2024,"Community Fair
Community Fair","Adults
Children",No,No,No,Yes,No,,40.761577,-73.723122,411.0,23.0,4173029.0,4083520051.0,152902.0,QN1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assemnlyman Micheal Novakhov Community Fair,Special Event,2636 E. Public 14th Street,BK,11235,Citywide Outreach,08/26/2024,Community Fair,Children,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP-3,Outreach,59 Maiden Lane,MN,10038,Citywide Outreach,08/26/2024,DVAP,Adults,No,No,No,No,No,,40.708266,-74.008231,101.0,1.0,1079043.0,1000670001.0,1502.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friends of Crown Heights (2505 Pitkin ),Outreach,2505 Pitkin Avenue,BK,11208,Citywide Outreach,08/26/2024,Parent Workshop,Adults,Yes,No,No,No,No,,40.674284,-73.879746,305.0,42.0,3089020.0,3040060037.0,1192.0,BK0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthem Independent Licensee of Blue Cross Shield Association,Special Event,241 37th Street,BK,11232,Citywide Outreach,08/27/2024,"Community Fair
Community Fair","Children
Adults",No,No,No,No,No,,40.6558,-74.008408,307.0,38.0,3336906.0,3006950001.0,2.0,BK0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby Cafe,Special Event,149-18 Jamaica St,QN,11434,Citywide Outreach,08/27/2024,Community Fair,,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite #18,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,08/27/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgewood OAC,Outreach,59-14 70 Ave,QN,11385,Citywide Outreach,08/27/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.701191,-73.900024,405.0,30.0,4084122.0,4035080009.0,583.0,QN0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkville Gardens Senior Housing,Outreach,225 East 93 Street,MN,10128,Citywide Outreach,08/27/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.782781,-73.949577,108.0,5.0,1048917.0,1015390010.0,15403.0,MN0803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASA Bay Eden Senior Center,Outreach,1220 East 229 Street,BX,10466,Citywide Outreach,08/28/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.884011,-73.842204,212.0,12.0,2093741.0,2049050360.0,460.0,BX1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Police Department 24 Precinct,Special Event,West 104th Street Columbus Avenue,MN,10025,Citywide Outreach,08/28/2024,"Community Fair
Community Fair","Adults
Children",No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD 26th Precinct,Special Event,Old Bway bet 125th and 126th,MN,10027,Citywide Outreach,08/28/2024,"Other Special Event
Other Special Event","Children
Adults",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYS Senator Cordell Cleare Office,Special Event,163 West 125 Street Plaza,MN,10027,Citywide Outreach,08/28/2024,Community Fair,Older Adults,No,No,Yes,Yes,Yes,,40.808644,-73.947524,110.0,9.0,1081602.0,1019100001.0,222.0,MN1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Senior Services,Outreach,2600 Netherland Avenue,BX,10463,Citywide Outreach,08/28/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.878744,-73.915679,208.0,11.0,2083247.0,2057220475.0,29302.0,BX0803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANAC-HARMONY JVL OAC,Outreach,27-40 Hoyt Ave. S,QN,11102,Citywide Outreach,08/29/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.771857,-73.9198,401.0,22.0,4537921.0,4008390001.0,69.0,QN0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC Meeting,Outreach,"59 Maiden Lane, 34th Floor",MN,10038,Citywide Outreach,08/29/2024,Motorcycles,Adults,No,No,No,Yes,No,,40.708266,-74.008231,101.0,1.0,1079043.0,1000670001.0,1502.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD 79th Precinct,Special Event,263 Tompkins Ave,BK,11216,Citywide Outreach,08/29/2024,"Other Special Event
Other Special Event","Adults
Children",No,No,No,No,Yes,,40.688993,-73.945025,303.0,36.0,3050453.0,3018000003.0,263.0,BK0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 896K,Special Event,736 48th Street,BK,11220,Citywide Outreach,08/29/2024,"Community Fair
Community Fair",,No,No,No,No,No,,40.643018,-74.003856,307.0,43.0,3332092.0,3007770001.0,10801.0,BK0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Flatbush Community Partnership,Special Event,870 East 29th Street,BK,11210,Citywide Outreach,08/30/2024,"Community Fair
Community Fair","Children
Adults",No,No,No,No,No,,40.629667,-73.94845,314.0,45.0,3206417.0,3075740074.0,774.0,BK1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotham Health East New York,Special Event,2094 Pitkin Ave,BK,11207,Citywide Outreach,08/30/2024,"Other Special Event
Other Special Event","Adults
Children",No,No,No,No,Yes,,40.671977,-73.895248,305.0,42.0,3083929.0,3037380015.0,1144.0,BK0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Phi Alpha,Special Event,22001 Linden Boulevard,QN,11411,Citywide Outreach,08/31/2024,Community Fair,Older Adults,No,No,Yes,No,No,,40.695105,-73.740004,413.0,27.0,4244354.0,4113210006.0,596.0,QN1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Neighborhood Heath Action Center,Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,09/03/2024,Safety Shower,Adults,No,No,No,Yes,No,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Wellness Center,Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,09/03/2024,Safety Shower,Adults,No,No,No,Yes,No,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX - PS 11 - The Highbridge School,Special Event,1257 Ogden Avenue,BX,10452,Citywide Outreach,09/03/2024,"Community Fair
Community Fair","Adults
Children",No,No,No,No,No,,40.839378,-73.925714,204.0,16.0,2003519.0,2025290081.0,201.0,BX0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS/IS 109,Special Event,1001 E 45th Street,BK,11210,Citywide Outreach,09/03/2024,"Community Fair
Community Fair","Children
Adults",No,No,No,No,No,,40.636455,-73.933582,317.0,45.0,3114526.0,3050220002.0,836.0,BK1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIN Findlay OAC,Outreach,1175 Findlay Ave,BX,10456,Citywide Outreach,09/03/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.832271,-73.912652,204.0,16.0,2002295.0,2024350025.0,175.0,BX0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiseBoro Community Partnership,Outreach,37 Hillside Avenue,MN,10040,Citywide Outreach,09/03/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.858508,-73.929532,112.0,10.0,1000000.0,1021700118.0,283.0,MN1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Settlement Neighborhood Center,Outreach,189 Allen Street,MN,10002,Citywide Outreach,09/03/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.722133,-73.988964,103.0,1.0,1005537.0,1004170001.0,3601.0,MN0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLC Adult Day Care,Outreach,97-40 64 Avenue,QN,11374,Citywide Outreach,09/03/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.729936,-73.859646,406.0,29.0,4607563.0,4020917501.0,71701.0,QN0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite #19,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,09/04/2024,Child Passenger Safety Workshop,,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH/Family Wellness #27,Outreach,158 East 115th Street,MN,10029,Citywide Outreach,09/05/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH/Family Wellness #28,Outreach,158 East 115th Street,MN,10029,Citywide Outreach,09/05/2024,Child Passenger Safety Workshop,,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWI,DWI,Clinton & Grand Street,MN,10002,Citywide Outreach,09/05/2024,Other DWI,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,Clinton & Grand Street,MN,10002,Citywide Outreach,09/05/2024,Street Teams,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Neighborhood Health Action Center,Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,09/06/2024,Safety Shower,Adults,No,No,No,Yes,No,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Neighborhood Heath Action Center,Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,09/06/2024,Safety Shower,Adults,No,No,No,Yes,No,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redeemer Nursery School,Outreach,92-10 217th Street,QN,11428,Citywide Outreach,09/06/2024,Parent Workshop,Adults,Yes,No,No,No,No,,40.722469,-73.741759,413.0,23.0,4227031.0,4106330001.0,558.0,QN1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,1st Ave and 20th Street,MN,10010,Citywide Outreach,09/09/2024,Street Teams,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake & Milford DCC-KBOZ,Outreach,334 Milford Street,BK,11207,Citywide Outreach,09/10/2024,Parent Workshop,Adults,Yes,No,No,No,No,,40.670868,-73.876187,305.0,42.0,3393495.0,3040560144.0,1194.0,BK0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite#20,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,09/10/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megars Evers College,Special Event,1650 Bedford Avenue,BK,11225,Citywide Outreach,09/11/2024,Community Fair,College,No,No,No,No,No,,40.666269,-73.956676,309.0,35.0,3034075.0,3012940001.0,325.0,BK0901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,1st Ave and E 4th Street,MN,10003,Citywide Outreach,09/11/2024,Street Teams,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Day Care Center Inc.,Outreach,1112 Winthrop Street,BK,11212,Citywide Outreach,09/11/2024,Parent Workshop,Adults,Yes,No,No,No,No,,40.662008,-73.923061,317.0,41.0,3100654.0,3046310007.0,884.0,BK1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORC & HOPE Elliot Chelsea Houses,Outreach,441 W 26TH Street,MN,10001,Citywide Outreach,09/12/2024,Seniors - Streetwise,Adults,No,No,Yes,No,No,,40.749196,-74.001815,104.0,3.0,1012827.0,1007240010.0,97.0,MN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 276 Louis Marshall,Special Event,1070 E 83rd Street,BK,11236,Citywide Outreach,09/12/2024,Other Special Event,Children,No,No,No,No,No,,40.634085,-73.907925,318.0,46.0,3225637.0,3080340001.0,996.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 386 X,Special Event,125 East 181 Street,BX,10453,Citywide Outreach,09/12/2024,"Community Fair
Community Fair","Adults
College",No,No,No,No,No,,40.854872,-73.903458,205.0,14.0,2013849.0,2031700001.0,23704.0,BX0503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual car seat check - Nirali Shah,Child Passenger Safety,37 Wall Street,MN,10005,Citywide Outreach,09/13/2024,Car Seat Check,Adults,No,No,No,No,No,,40.706551,-74.009792,101.0,1.0,1078992.0,1000260014.0,7.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
